text,label
WHO issues new health guidelines,real
India wins T20 world cup,real
Cricketer breaks all-time record,real
Scientists develop universal vaccine,real
New smartphone folds into wristwatch,real
Tech giant launches new AI chip,real
Mental health apps see rise in use,real
New alliance formed for elections,fake
WHO issues new health guidelines,fake
New smartphone folds into wristwatch,real
Director reveals sequel plans,real
Player suspended for match fixing,real
Cricketer breaks all-time record,real
FIFA plans to add new teams,real
Government announces new tax reforms,fake
Fake report sinks company shares,fake
Fake: Time machine tested successfully,fake
Player suspended for match fixing,real
CEO steps down amid controversy,real
Fake: Time machine tested successfully,real
Scientists develop universal vaccine,fake
Fake news: Celeb joins politics,real
Stock market hits record high,real
Leader found guilty in scam,real
Fake: Herbal juice cures diabetes,fake
Player suspended for match fixing,real
Fake: Time machine tested successfully,fake
CEO steps down amid controversy,fake
Mental health apps see rise in use,real
Fake: Time machine tested successfully,real
Stock market hits record high,fake
FIFA plans to add new teams,fake
CEO steps down amid controversy,real
Cricketer breaks all-time record,real
Scientists develop universal vaccine,real
Upcoming movie banned in 5 states,fake
FIFA plans to add new teams,fake
Data breach exposes 10 million accounts,real
Fake: Herbal juice cures diabetes,fake
Actor wins national award,fake
Scientists develop universal vaccine,fake
Actor wins national award,real
New alliance formed for elections,fake
Tech giant launches new AI chip,real
Player suspended for match fixing,fake
India wins T20 world cup,fake
Leader found guilty in scam,fake
New alliance formed for elections,fake
FIFA plans to add new teams,fake
Director reveals sequel plans,real
Scientists develop universal vaccine,fake
FIFA plans to add new teams,real
Startup raises $10M in funding,real
Government announces new tax reforms,fake
WHO issues new health guidelines,real
Fake: Herbal juice cures diabetes,fake
CEO steps down amid controversy,fake
New smartphone folds into wristwatch,real
Leader found guilty in scam,fake
New smartphone folds into wristwatch,real
Upcoming movie banned in 5 states,real
Fake: Time machine tested successfully,real
India wins T20 world cup,fake
Scientists develop universal vaccine,fake
Fake: Time machine tested successfully,real
Scientists develop universal vaccine,fake
India wins T20 world cup,fake
Leader found guilty in scam,real
Cricketer breaks all-time record,real
Data breach exposes 10 million accounts,fake
Cricketer breaks all-time record,real
Upcoming movie banned in 5 states,real
Mental health apps see rise in use,real
CEO steps down amid controversy,fake
Viral fake speech circulates online,real
Fake: Time machine tested successfully,real
New alliance formed for elections,real
Upcoming movie banned in 5 states,real
Tech giant launches new AI chip,real
Fake news: Celeb joins politics,real
Fake news: Celeb joins politics,fake
Actor wins national award,real
FIFA plans to add new teams,fake
Upcoming movie banned in 5 states,fake
Viral fake speech circulates online,real
Upcoming movie banned in 5 states,real
Viral fake speech circulates online,fake
New alliance formed for elections,fake
Director reveals sequel plans,real
Stock market hits record high,real
CEO steps down amid controversy,fake
Viral fake speech circulates online,real
CEO steps down amid controversy,fake
Government announces new tax reforms,real
New alliance formed for elections,fake
Leader found guilty in scam,fake
Leader found guilty in scam,real
Player suspended for match fixing,real
Fake report sinks company shares,real
India wins T20 world cup,fake
CEO steps down amid controversy,fake
Tech giant launches new AI chip,real
Scientists develop universal vaccine,real
Startup raises $10M in funding,real
CEO steps down amid controversy,fake
New smartphone folds into wristwatch,fake
Player suspended for match fixing,fake
Actor wins national award,fake
CEO steps down amid controversy,real
FIFA plans to add new teams,fake
Fake: Herbal juice cures diabetes,fake
Scientists develop universal vaccine,fake
WHO issues new health guidelines,real
Upcoming movie banned in 5 states,fake
Actor wins national award,fake
New alliance formed for elections,real
Government announces new tax reforms,fake
Viral fake speech circulates online,fake
Stock market hits record high,real
India wins T20 world cup,fake
Fake: Time machine tested successfully,fake
Scientists develop universal vaccine,real
New alliance formed for elections,real
Viral fake speech circulates online,real
FIFA plans to add new teams,fake
Upcoming movie banned in 5 states,real
India wins T20 world cup,fake
Fake report sinks company shares,real
Actor wins national award,real
New alliance formed for elections,real
Data breach exposes 10 million accounts,real
Fake news: Celeb joins politics,fake
Director reveals sequel plans,real
New smartphone folds into wristwatch,fake
Fake news: Celeb joins politics,real
WHO issues new health guidelines,real
CEO steps down amid controversy,fake
Mental health apps see rise in use,fake
Scientists develop universal vaccine,fake
New smartphone folds into wristwatch,real
Leader found guilty in scam,real
Government announces new tax reforms,fake
Cricketer breaks all-time record,real
Fake: Time machine tested successfully,real
New alliance formed for elections,real
Leader found guilty in scam,real
Fake: Herbal juice cures diabetes,fake
CEO steps down amid controversy,fake
Fake news: Celeb joins politics,fake
Startup raises $10M in funding,real
Viral fake speech circulates online,fake
Cricketer breaks all-time record,fake
Tech giant launches new AI chip,real
Data breach exposes 10 million accounts,fake
Tech giant launches new AI chip,fake
Scientists develop universal vaccine,fake
Stock market hits record high,fake
Stock market hits record high,fake
Leader found guilty in scam,fake
Director reveals sequel plans,fake
India wins T20 world cup,fake
CEO steps down amid controversy,real
Fake: Herbal juice cures diabetes,fake
India wins T20 world cup,fake
Fake report sinks company shares,real
Director reveals sequel plans,real
Cricketer breaks all-time record,fake
Fake: Herbal juice cures diabetes,fake
Player suspended for match fixing,fake
Cricketer breaks all-time record,fake
Upcoming movie banned in 5 states,real
New alliance formed for elections,fake
Startup raises $10M in funding,real
Scientists develop universal vaccine,fake
Actor wins national award,fake
Mental health apps see rise in use,real
Government announces new tax reforms,real
Fake report sinks company shares,real
Cricketer breaks all-time record,real
Government announces new tax reforms,fake
Scientists develop universal vaccine,fake
Fake: Time machine tested successfully,fake
India wins T20 world cup,fake
Fake: Time machine tested successfully,real
New smartphone folds into wristwatch,real
Player suspended for match fixing,fake
Upcoming movie banned in 5 states,fake
Viral fake speech circulates online,fake
Director reveals sequel plans,fake
Stock market hits record high,real
Scientists develop universal vaccine,real
Leader found guilty in scam,fake
Scientists develop universal vaccine,real
Startup raises $10M in funding,fake
Player suspended for match fixing,fake
India wins T20 world cup,fake
Fake: Herbal juice cures diabetes,real
Viral fake speech circulates online,fake
Player suspended for match fixing,fake
Fake news: Celeb joins politics,fake
Tech giant launches new AI chip,fake
WHO issues new health guidelines,fake
Startup raises $10M in funding,real
Cricketer breaks all-time record,fake
Scientists develop universal vaccine,fake
Player suspended for match fixing,fake
Fake: Time machine tested successfully,fake
WHO issues new health guidelines,fake
New smartphone folds into wristwatch,fake
Tech giant launches new AI chip,real
Government announces new tax reforms,fake
Stock market hits record high,real
Mental health apps see rise in use,fake
Upcoming movie banned in 5 states,real
Mental health apps see rise in use,real
Fake: Time machine tested successfully,fake
Mental health apps see rise in use,real
Tech giant launches new AI chip,fake
Scientists develop universal vaccine,real
Scientists develop universal vaccine,real
Scientists develop universal vaccine,fake
Tech giant launches new AI chip,real
Mental health apps see rise in use,fake
India wins T20 world cup,fake
Viral fake speech circulates online,real
Player suspended for match fixing,fake
Tech giant launches new AI chip,fake
New smartphone folds into wristwatch,real
Actor wins national award,fake
New smartphone folds into wristwatch,fake
CEO steps down amid controversy,fake
Viral fake speech circulates online,fake
Fake news: Celeb joins politics,real
Startup raises $10M in funding,fake
Fake report sinks company shares,fake
New smartphone folds into wristwatch,fake
Player suspended for match fixing,fake
CEO steps down amid controversy,real
Viral fake speech circulates online,fake
Player suspended for match fixing,fake
New smartphone folds into wristwatch,fake
Viral fake speech circulates online,fake
Data breach exposes 10 million accounts,real
FIFA plans to add new teams,real
Government announces new tax reforms,fake
Fake: Herbal juice cures diabetes,fake
Scientists develop universal vaccine,real
Government announces new tax reforms,fake
Data breach exposes 10 million accounts,real
Director reveals sequel plans,fake
Fake: Time machine tested successfully,real
FIFA plans to add new teams,real
Fake: Time machine tested successfully,fake
Mental health apps see rise in use,real
CEO steps down amid controversy,fake
Scientists develop universal vaccine,real
WHO issues new health guidelines,real
India wins T20 world cup,fake
Scientists develop universal vaccine,real
CEO steps down amid controversy,real
Fake news: Celeb joins politics,fake
Data breach exposes 10 million accounts,real
WHO issues new health guidelines,real
Viral fake speech circulates online,real
Fake report sinks company shares,real
Fake report sinks company shares,fake
Tech giant launches new AI chip,fake
Startup raises $10M in funding,real
Startup raises $10M in funding,fake
Stock market hits record high,real
Viral fake speech circulates online,fake
Director reveals sequel plans,fake
Leader found guilty in scam,fake
Fake: Time machine tested successfully,real
Scientists develop universal vaccine,real
Scientists develop universal vaccine,fake
Player suspended for match fixing,real
Cricketer breaks all-time record,real
Government announces new tax reforms,fake
Fake news: Celeb joins politics,fake
Scientists develop universal vaccine,fake
Scientists develop universal vaccine,fake
Fake news: Celeb joins politics,real
Data breach exposes 10 million accounts,real
Player suspended for match fixing,real
Startup raises $10M in funding,real
FIFA plans to add new teams,real
Viral fake speech circulates online,real
Player suspended for match fixing,fake
Data breach exposes 10 million accounts,fake
Mental health apps see rise in use,fake
Scientists develop universal vaccine,fake
Viral fake speech circulates online,real
Player suspended for match fixing,fake
Fake news: Celeb joins politics,fake
Fake news: Celeb joins politics,fake
WHO issues new health guidelines,fake
Viral fake speech circulates online,fake
WHO issues new health guidelines,fake
New alliance formed for elections,fake
Scientists develop universal vaccine,fake
Player suspended for match fixing,fake
Fake news: Celeb joins politics,fake
India wins T20 world cup,fake
New alliance formed for elections,real
New alliance formed for elections,fake
Viral fake speech circulates online,fake
India wins T20 world cup,real
